Association,From Connection,To Connection,From Object,To Object
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1K01TBWP00001/DB00061,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1TRVTBWP00006/DB05521,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1TRVTBWP00006/DB05522,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1TRVTBWP00006/DB05523,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1TRVTBWP00006/DB05524,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1TRVTBWP00006/DB05525,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1B01TBWP00001/DB00061,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1B01TBWP00001/DB02148,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1B01TBWP00001/DB02150,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1B02TBWP00001/DB00061,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1B02TBWP00001/DB02148,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1B02TBWP00001/DB02150,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1T02TBWP00001/DB00061,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1T02TBWP00001/DB06755,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1D01TBWP00001/DB00061,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1D01TBWP00001/DB02150,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1D01TBWP00001/DB02151,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1D50TBWP00001/DB00061,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1D50TBWP00001/DB02131,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1D50TBWP00001/DB06755,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1C01TBWP00001/DB00061,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1C01TBWP00001/DB02150,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1C01TBWP00001/DB02151,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1EP1TBWP00001/DB00061,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1EP1TBWP00001/DB02151,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1C01TBWP00001/DB01623,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1C01TBWP00001/DB01641,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1C01TBWP00001/DB02152,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1C01TBWP00001/DB02153,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1C02TBWP00001/DB00061,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1K04TBWP00001/DB00061,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1T02TBWP00001/DB02130,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1T02TBWP00001/DB02131,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1T02TBWP00001/DB02151,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
